0	0	0	3	0	0	0	0	1	6	0	0	0	23	0	4	0	9	0	12	2	0	16	0	0	7	1	0	0	0	0	0	0	0	0	140	531	32	29	27	0	0	10	11	0	1	0	0	0	4	0	0	1	0	0	4	20	20	5	8	1	6	0	4	0	0	7	0	0	0	1	0	0	0	16	2	0	0	0	0	4	0	6	0	0	0	0	0	5	0	0	9	0
0	0	1	0	3	4	8	0	0	0	0	6	4	0	2	0	10	0	13	0	0	0	0	4	1	0	0	0	0	0	0	0	14	0	0	28	32	620	101	102	0	9	0	0	2	0	0	0	3	0	0	0	0	6	0	0	0	1	0	3	0	0	0	0	6	4	0	6	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	8	5	0	0	0	0	12	0	2
6	0	10	1	0	4	0	0	0	0	0	16	2	0	10	0	8	0	11	0	0	0	0	14	0	0	0	9	0	6	0	0	18	0	6	26	29	101	674	153	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	7	2	0	8	0	0	0	0	0	15	0	0	1	3	3	0	0	2	0	12	0	1	6	1	0	0	8	0	1
0	0	0	0	1	4	0	0	0	0	6	0	6	0	10	0	12	0	5	1	0	0	0	10	1	0	0	0	3	4	0	0	0	0	0	33	27	102	153	514	2	0	0	0	1	0	1	0	5	0	0	0	0	12	0	0	0	2	0	0	0	0	1	0	6	0	0	5	9	7	0	0	0	3	0	0	0	6	2	0	0	0	0	4	1	4	1	0	0	2	10	0	0
0	0	0	0	3	5	0	0	0	0	3	25	1	0	1	0	7	0	2	0	0	0	0	1	1	0	0	3	0	0	0	0	4	0	16	0	0	0	0	2	586	144	36	41	8	10	1	14	5	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	1	6	3	0	0	0	5	0	0	3	6	5	0	0	8	0	0	2	5	0	8	0	7	16	0	0
0	0	3	0	1	0	0	0	0	0	9	11	9	0	1	0	11	0	0	0	0	0	0	0	3	0	0	8	2	15	0	0	3	0	4	0	0	9	6	0	144	722	46	21	6	1	7	4	3	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0	1	4	0	5	2	2	0	0	0	16	0	0	0	0	23	1	0	1	0	0	6	4	7	15	0	0	0	0	7
0	2	0	2	0	0	0	13	14	4	0	0	0	16	0	0	0	0	0	6	21	0	5	0	0	6	1	0	0	0	4	4	0	5	0	11	10	0	0	0	36	46	640	157	0	0	0	0	0	0	0	0	4	0	3	0	0	0	1	0	0	4	8	4	1	0	7	0	0	0	0	0	8	0	11	8	0	0	0	14	4	0	0	0	0	0	0	0	21	0	0	1	1
0	0	0	26	0	0	0	4	6	7	0	0	0	9	0	2	0	5	0	0	10	0	3	0	0	1	5	0	0	0	9	1	0	12	0	1	11	0	0	0	41	21	157	708	0	0	0	0	0	4	0	0	1	0	1	0	1	13	0	4	0	0	7	9	0	0	17	0	0	0	1	3	6	0	3	7	0	0	0	27	0	0	2	0	0	0	0	0	6	0	0	9	0
0	0	1	0	1	0	2	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	8	6	0	0	643	176	143	192	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	5	0	4	0	0	0	0	0	0	1	1	2	2	4	0	0	0	0	2	0	9	2	0	0	3	0	0	12
0	0	1	0	0	3	7	0	0	1	1	0	0	0	0	0	7	0	1	0	0	0	0	8	1	0	0	5	0	0	1	0	0	0	0	1	1	0	0	0	10	1	0	0	176	575	140	128	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	7	5	0	0	0	7	0	0	0	0	6	0	1	5	0	0	4	6	2	1	0	2	4	0	2
